Name,cF17,cF3,cF29,cF36,cF8,cF41,cF38,cF19,cF31,cF14,cF27,cF4,cF22,cF40,cF9,cF33,cF16,cF2,cF26,cF11,cF20,cF5,cF30,cF15,cF39,cF7,cF13,cF34,cF18,cF10,cF28,cF21,cF44,cF12,cF35,cF24,cF6
"(±)-4-Methyl-N-ethyl-norephedrine, N-trimethylsilyl-, trimethylsilyl ether(1)",8740983.276,22647808.28,37247944.84,54914132.83,3405456.282,22461119.32,111279763.3,1170234.641,53158336.39,29997896.34,7279227.717,14608733.5,327006947,789546287.6,9770067.912,824866048.3,40595750.53,288050504.9,807989383.9,289667747.1,117540364.8,39304681.79,27457762.79,10272291.55,68111457.94,72990535.08,15475615.54,108925811.6,49218763.42,418392781.4,6194869.211,253351630.8,2580046640,4788994.258,890926189.4,47244630.53,919873680.8
"(±)-4-Methyl-N-ethyl-norephedrine, N-trimethylsilyl-, trimethylsilyl ether(2)",5642453.854,229687297,25335045.8,79212736.99,38237438.91,764261183.4,119481028.3,957911.1934,61462326.51,42874035.94,19176675.94,416538576.1,494452364,2503639679,9672596.935,744426219.4,104238937.5,4160589535,510906216.4,768727450.1,161787742.2,75481667.04,1435531.609,9255611.574,70455397.23,374122728.1,54342402.57,143361126.6,2566695719,527833481.2,153117035.9,580789050.7,4481159898,4530716.137,152401364.2,26562629.26,18972040594
"(1-(4-Bromophenyl)cyclopropyl)methanamine, 2TMS",4536337.195,48226242.16,44272311.49,51475525.97,3716971.338,180091891.3,2094522.024,498087.2415,14383185.79,12978526.88,18149000.15,17227134.13,294410756.5,558134688.8,7631748.728,1096271639,39377367.49,174531332.9,56295191.02,254091021.6,11502779.1,8936240.053,110166.6999,16220182.71,31418331.57,218966816.4,80177885.03,40425172.47,58947447.69,76389108.6,14260343.15,208253647.3,1376413817,5608866.547,59567363.27,18373388.56,4703899894
(2-Methyloxan-2-yl)methanol,10276558.31,111393468.8,34267336.7,207068811.9,7340365.046,273627965.9,334124698.1,13210832.51,112194470,176286534.5,12796189.11,29350309.28,230361874.9,512135169.6,2722583.829,844636559.8,47731933.64,33562348.41,24820642.08,126318025.8,580751863.5,27407434.61,15151895.89,1835541.376,58783817.51,143852224,18391843.64,83345913.27,50464284.16,139447853.2,43700761.21,1226697328,216849152.9,21459204.96,316736288,28611079.54,4266109641
"(2R,3S,4S,5R,6R)-2-(Hydroxymethyl)-6-(4-methylpentoxy)oxane-3,4,5-triol, 4TMS",390828.9434,10012545.95,3464370.089,25415554.99,211574.7496,27003818.96,147943017.3,878946.0192,16263551.6,5084295.69,16450734.86,21325870.84,192517911.1,111860890.4,7789264.045,221412113.8,20297471.07,337442358.9,16244899.64,8196880.121,70051213.78,13002091.44,5839810.121,1664963.404,10960728.9,49286954.96,9183105.743,24537140.38,574926722.9,91222286.83,34784277.33,1741874775,241340786.1,3461209.514,57077630,17566460.54,1619628976
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(1)",242117452.8,4028236107,1782951491,6830957854,606889082.4,8411765217,2879963176,43964004.99,2845744504,1543359106,468540386.7,3821767730,41647547883,27544478328,231766153.3,7141548302,673440046.3,48653106356,6647968400,11493470992,4813287179,1434355057,150570527.3,295125116.8,1449085121,17604087812,1964461167,2165018430,29558183779,11809750015,3349685938,24113972467,69455256890,78808703.14,16291458087,1252026650,2.48E+11
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(2)",269426.9811,2639170.014,846995.7033,1704045.222,140127.4467,2885993.716,149309935.6,75121.11761,1813893.935,2569158.899,1757147.863,55170366.13,333104340,160202030.7,1904234.699,210246519.5,5487056.524,172176403.3,35283688.23,76659915.07,18823265.73,3060399.059,6393124.565,938809.8223,8475948.033,11073914.21,17156398.72,21526292.74,22538937.4,111033987.6,47598840.41,37978495.41,114499675.3,447919.7724,20540090.04,2203990.517,629832046.3
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(3)",213815.8064,5919592.294,5536435.059,7297386.606,891978.7737,20486023.14,4606246.972,117331.9346,5344180.678,2884653.556,390656.358,715208.8096,84899883.15,297563329.7,1461919.478,226201933.1,8730309.975,157894066.4,52879856.89,104347368.3,19772013.06,2867101.39,210845.6582,2046264.339,21088357.92,8175690.387,78667961.07,24373529.24,63122914.49,2483350.912,959638.8989,41195477.4,111096319.4,479861.3759,34888587.51,5024592.922,1315169368
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(4)",907891.422,21948827.53,624833.5772,2431142.805,175160.1938,14921554.35,1154469.533,121252.1571,1555048.002,2621601.793,1009738.996,4162766.082,28579458.84,434582952.4,2791848.515,4614852.484,1526129.661,28751340.68,38401636.42,5821088.976,2080181.75,310335.3827,6510.716258,187883.8631,1624436.008,107733466.7,105290.2579,593377.77,209349951.9,26478895.71,1011148.076,70425025.87,115623659.1,479445.0357,2002500.117,1842753.906,584794814.9
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(5)",6419.928425,933267.229,369645.6419,732522.7298,53245.84855,2695179.458,2654.569308,264.5897097,600337.2428,18622.28111,25602.0583,1391462.085,12925570.18,11677938.79,247729.0253,7899731.146,419141.8483,22382578.4,54987898.73,5919534.039,1266198.557,317692.8404,98768.67569,184060.3094,352791.2619,11767578.25,2681488.049,105021.9945,15262380.39,5899427.059,977114.9448,1448770.49,10131434.67,35407.65901,6111.175522,20255.0152,115669216.9
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(6)",2470.144494,3771347.719,431825.3693,342142.297,57343.12755,726266.127,320521.6871,2354.05912,741799.8178,666888.2794,862753.5759,728417.831,4302611.934,78921700.94,1986595.036,39980310.51,363128.4077,145181865.1,150537049.1,11800091.14,3053398.584,918777.4427,38677.46178,855634.5458,330521.5055,5792675.788,5181400.711,4780943.749,48527139.57,8998976.509,1164743.262,5545342.371,93900525.99,19042.5082,540268.7128,23688.68248,364968470.4
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(7)",144224.686,9678193.108,346044.6802,6478736.439,125387.5488,16714695.79,329914.1315,5942.365726,3245896.125,922673.395,890008.5128,13121051.88,23881825.27,76699880.18,4963150.898,115226995,2305283.06,464657324.7,554615972,27379767.69,8362984.826,2794340.151,109229.6954,913335.1027,4406352.792,38387803.46,4215692.046,6886754.346,284116210.8,55620745.63,5516352.769,96814706.46,244298817.1,133681.236,3545285.557,74414.0883,868058139.9
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(8)",35011.98292,991353.429,877264.6332,2521037.069,13400.23956,210021.6868,162900.1726,420.0906835,126001.9797,171100.5118,211173.3729,2126996.941,1905698.752,2147163.515,1198945.983,1734250.788,1351061.53,101088958.4,3288718.191,239581.5391,4935643.639,217873.9582,76613.52383,197164.3245,275629.0461,149803101.8,292228.2895,240334.5154,59440765.39,1244634.233,51368.55145,7128201.998,72881523.24,87587.61371,2325558.677,159979.9908,288283614.4
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(9)",33261.79254,1145224.951,749658.2907,2237036.315,5657.908855,1066228.016,2755862.322,0,4869855.713,1358655.765,230391.7908,578387.1125,1634267.23,52391618.2,1427059.879,52070439.01,1651279.43,103779717.3,66567540.6,20434318.54,5947193.311,878518.6676,124402.2093,1174715.919,7550648.773,46698939.69,9274337.644,3853462.628,54338574.53,3236967.787,641045.8355,5555092.424,55923082.65,2593.947047,1606413.104,342459.6079,315687587.2
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(10)",54257.62723,45953223.23,1181274.231,13496267.43,1415654.255,76050460.8,1352651.49,16162.27184,6844303.055,1460775.259,654079.5811,75156063.99,723787235.9,514790832.4,31116873.24,72665711.86,11516905.94,908753013.4,1738522833,91494765.3,16611213.34,6733709.341,193874.3077,3016746.938,5310570.876,15399065.89,9396121.82,6830088.664,497200654.8,217349443.1,18937714.25,74994887.56,447437071.8,75117.46009,1263528.938,865715.9192,3391103846
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(11)",1883.88857,6713814.094,1103309.732,2083888.196,105669.5483,14701827.69,2206767.954,18940.97639,1409027.366,551075.8693,44411.46032,6087083.648,112535844.3,121193482.2,6425864.543,229659428.4,2969430.201,164343511.5,139055751.5,37539037.55,8286593.095,3907771.631,193497.9784,1616794.767,6854279.764,34307441.97,12930398.51,6874571.96,191874834,68329525.43,2032097.4,21214177.47,81769311.21,42568.28858,5879019.773,144247.5451,481064145.5
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(12)",703268.5901,43044036.37,26105441.31,94059008.38,272058.0052,106704172.9,201974985.3,92951.58812,11774283.57,68203324.96,1080277.816,2163516.817,3033544.508,8570069.023,602125.0189,93765.74939,154826.1787,29208089.42,1858314.018,792430.4255,315770.6357,4398428.715,53374.87658,82550.56547,8762251.934,23457046.46,286049.3853,9854787.286,258528644.3,126624708.4,5837796.686,6753141.195,4061990.259,739013.2286,4644624.446,2399312.89,185499415.7
"(2S)-2-{[(2S)-2-Amino-4-methylpentanoyl]amino}-3-(4-hydroxyphenyl)propanoic acid, 3TMS(13)",359354.923,1691929.442,1283240.049,16299730.59,42268.05804,13606019.53,4726542.162,25132.67165,679019.1363,3444726.398,345232.9323,4434152.567,2771454.73,40504257.84,223326.8337,10432302.17,1875273.244,7625817.438,7596285.907,1717869.033,69610.86677,709602.6179,90719.08347,93455.48866,1623386.184,30746234.64,1046425.503,2056424.603,58516304.48,38145462.22,4443070.622,48625571.33,6733225.601,147158.5185,2832366.072,218106.5222,505003426.4
"(2S)-2,6-Diaminohexanamide, 5TMS(1)",33856.91329,683687.8802,521332.2391,641105.5051,589.4057602,1920574.65,182636.3466,720.478577,17030.74538,6392.063618,8661.377775,1016893.136,6844438.534,24912895.87,573466.6752,67833501.34,497971.2582,154509528.3,23926469.26,12892204.4,1742455.322,164531.1227,2294.589163,121778.3968,1415569.457,4683335.196,16755336.27,1024339.976,15542275.08,5306768.143,4899961.099,98920.44564,27001667.21,2882.020749,1595881.484,12626.34544,168521858.6
"(2S)-2,6-Diaminohexanamide, 5TMS(2)",40121.10571,1687743.922,1275141.468,1740708.492,52002.64875,5031396.991,30509.72849,28215.59319,121957.1236,141472.7384,134195.5191,2753685.542,29724501.4,51096060.74,761038.5533,82513445.59,951655.4411,163340680,20844581.03,16409671.39,2574543.264,367378.8016,12205.11475,484146.2472,1143134.398,9393040.223,6015467.43,1526822.81,29970151.93,10042797.72,4623215.095,2445402.755,52877224.23,129619.641,669851.1874,218832.8787,192535058.1
"(2S)-2,6-Diaminohexanamide, 5TMS(3)",22.1485903,777199.1501,265234.2933,4671.153492,85.54157146,2346583.733,31430.82077,13.11191571,0,117100.4278,38480.94384,0,6534894.24,11559826.1,682328.0786,28506501.04,161706.9975,103657383.4,13268449.97,5864073.354,399005.1636,73323.61632,4787.925481,7746.644477,265214.1085,1796292.556,4566194.222,216321.4573,17904982.95,1432054.905,2429191.185,2775700.926,26712464.79,100.8685096,9507.764287,69819.12441,216543582
"(2S)-2,6-Diaminohexanamide, 5TMS(4)",88737.64783,332703.4821,317590.0866,1962736.366,55053.88463,93674.2449,3823557.149,4780.841908,8099.821609,1260080.641,445526.5526,281847.2486,6646384.42,4872625.808,556238.288,7228303.441,170136.7168,32684131.95,14289647.11,1184157.66,1492844.715,131381.2155,1063.334407,9429.446739,281937.8093,779039.0299,564243.3022,13433.21438,6060140.967,1685178.348,1108512.01,25828441.13,6344337.524,69125.43368,3781340.39,1123922.516,8791487.422
"(2S)-3-Methyl-2-((S)-pyrrolidine-2-carboxamido)pentanoic acid, 2TMS",62186.03841,2103665.268,321358.8785,1999427.537,24934.38306,2662554.486,476973.1718,60478.08586,430977.848,651303.4101,106782.4859,2692406.795,3273129.451,3276247.165,361989.8173,4644039.088,294465.2805,82825283.6,23581316.6,7489493.131,3192938.76,955235.4317,34843.92582,76110.29275,941966.8323,6560459.592,1469620.679,1714844.589,99540858.94,20940653.02,1997908.431,3274432.478,57125200.79,20899.37146,3368545.966,53225.68698,76973749.88
"(3R,4S,5R)-3,4-Dihydroxy-5-((2S,3S)-1,2,3,4-tetrahydroxybutyl)dihydrofuran-2(3H)-one, O, O', O'', O''',O'''', O''''', hexa-TMS",16033937.93,362659696.4,62809293.18,3781301897,4252789.309,155766202.6,44750255.26,149748.3701,23262797.9,90960368.18,19501292.48,345352280.8,930940146.1,1472863469,9651142.085,112976338.4,28593039.05,2166054294,53020827.41,128919525.5,45427181.03,32684324.65,441806.0339,3749850.339,104437553.1,767298744.2,280409538.2,188597103.6,738038436,813064693.7,57807216.04,7667449647,53553553.02,1249016.027,187434355.1,40198878.54,9625766731
(R)-(-)-2-Pyrrolidinemethanol,4234059.368,86574573.45,23724552.4,103210026.1,65334920.45,94640375.44,2280166.974,697854.0249,37056667.99,1239422391,3686090.672,4479580960,19889903620,17495056476,122481815.4,3339711549,9496993.88,9772690609,1538821307,3054625559,93385366.41,285486792.5,43784331.55,40025111.58,25011980.65,5937443326,369296289.6,46072809.9,8618024404,17158483255,735239838.4,335130529.5,7683291905,5903585.474,232199357.4,19497531.44,26543850579
"(S)-2-((S)-Pyrrolidine-2-carboxamido)pentanedioic acid, 3TMS",126331.2353,2094501.012,1951161.467,4562246.591,87912.01187,2481003.272,3473955.47,1799.643757,2068358.188,10832431.06,717610.1486,994232.2066,7761924.367,63762432.9,257607.4358,20270014.28,87969.63008,343522795.5,107722672.6,29683911.88,1948973.418,2456486.287,130893.8769,79099.53809,2552745.197,5499950.455,4763015.839,3154362.952,96131810.41,19286842.5,10160652.63,7774436.843,252345362.3,242911.9598,6345093.004,1373241.722,309708800.3
"(Z)-3-Aminonon-5-enoic acid, 2TMS derivative(1)",149961.7677,19712047.02,3202645.973,37069816.98,362224.9166,28813613.68,2216820.11,4946.61295,1417807.302,4692567.589,488142.8471,6978731.666,44249669,250673198.2,4424265.059,305143453.7,8953524.482,488065037.9,39590388.19,50256921.36,15751943.56,4370508.205,26049.61764,550911.3062,15248563.6,73437426.45,42073522.81,11954330.57,188477957,115854939,19284748.41,516064187.1,506892136.1,377481.9349,12357087.43,2963871.959,4230381782
"(Z)-3-Aminonon-5-enoic acid, 2TMS derivative(2)",33418.2156,1983884.717,739857.2016,1741710.171,300092.7158,4621020.917,2284101.058,1545.041346,537668.1463,383273.2537,98593.97404,13409132.56,37386185.91,22144746.02,137356.0009,16038250.19,706421.5182,270148938.2,13852577.08,16370431.34,2752159.859,1975861.978,2845.726734,119859.4863,1428995.46,5913175.887,3686842.232,1527038.568,54160890.32,7783217.623,11631010.55,18687949.38,160946604.3,97688.32644,317967.4175,188106.241,215434749.6
"(Z)-3-Hexenyl β-glucopyranoside, 4TMS derivative",6569407.047,189918820.6,46403262.73,112560439.7,11887361.32,281803177.3,136775088,2453523.898,44075119.08,56991718.08,6246801.381,109551280.7,61287314.42,924482447.3,1832944.21,38458812.82,54186234.18,2133827013,10966029.66,132703427.7,52798058.04,57109776.25,1943506.042,869774.0469,223039900.4,76710241.61,116771715,129266290.7,1158022932,367100995.8,64857213,504061215.7,110487305,411630.0065,34654134.45,52634233.27,6593007498
"(Z)-9,12,13-Trihydroxyoctadec-15-enoic acid, 4TMS(1)",35503.94359,2763491.4,953725.7531,3875742.899,163527.2035,8809335.882,3459362.324,48909.67884,906803.2697,2479263.961,269279.1246,5977085.972,24705410.51,38065108.45,1727786.23,68137754.67,732017.8936,286230605.5,24886373.97,15907650.85,1880753.116,583742.9065,271305.566,169950.3598,1787013.096,9455984.046,4744670.052,1632960.7,7235323.343,18325677.48,5888132.033,13524977.87,43530425.92,21296.52848,16900554.13,508243.2283,271481384.3
"(Z)-9,12,13-Trihydroxyoctadec-15-enoic acid, 4TMS(2)",210063.1619,5999821.932,4442719.108,20057131.39,266286.3894,20787265.91,7213097.685,122628.9181,10017225.61,107876.1115,9185.805033,6866165.762,33076078.37,93788009.99,533706.5932,31926686.24,1934584.915,147473986.6,23851284.71,22052011.69,4693012.219,3686764.134,265215.9614,252756.0375,6891224.722,8272213.2,5905430.186,4055816.59,55021080.94,37494226.24,7512707.769,215652969,40845614.11,299902.1004,21302550.04,1863215.556,485537227.6
"(Z)-9,12,13-Trihydroxyoctadec-15-enoic acid, 4TMS(3)",335927.5333,10585934.56,7628787.474,39939944.71,1268397.523,42909692.77,32908059.76,200659.9262,9331600.733,19041568.54,3597814.367,32358050.17,43017945.64,84181102.64,9373039.509,213118228.7,5825667.068,386108318,9283669.778,4740514.476,4313767.457,921918.3136,10950408.94,2610431.795,1037783.153,38161628.61,5083267.599,8097095.392,68224303.49,19239952.38,3304000.472,44176886.88,100217180.4,116430.3183,157466136,4411687.317,29081898.41
"[1]Benzothiopyrano[4,3-b]benzo[e]indole",28405979.3,18578851.5,27296392.4,58875078.61,983260.1211,57364156.3,12126602.52,91028.96345,1210462.493,1383681.711,227747.6898,1534890.026,13928226.2,14677773.28,16182818.93,543082.2917,5275232.195,21720982.72,1972947.068,42817975.91,109082234,7237084.703,193988.165,32664.66892,25169034.45,1521292.47,8621066.908,2568621.536,41207567.97,2478079.534,2329611.15,402789309.3,28572299.42,4566302.28,4494352.778,94365787.59,404255244.1
"[3-(Aminomethyl)-5-methylcyclohexyl]methan-1-ol, 3TMS(1)",292965.1234,48622043.65,9556133.877,42975989.52,1188402.886,26269275.45,719767143.5,21588457.24,176281212.1,368998070.2,77546255.35,416026779.2,1360388848,4092627574,79305665,6022946728,18460770.28,851335604.6,73445531.92,82444296.82,50425515.05,6144222.198,45405075.8,7596876.357,6625785.06,1787195962,4761623.285,3319102.954,849441337.6,554947078.2,14265221.21,164345231.5,1051722237,19963450.15,562936835,3678889.932,1107566375
"[3-(Aminomethyl)-5-methylcyclohexyl]methan-1-ol, 3TMS(2)",2756.212075,466469.6825,154211.4271,1229978.632,8135.936171,336105.1678,245981.2287,609.8569873,27474.71165,1884571.741,64178.64535,292978.8465,2813062.335,4016836.279,818895.7547,2500953.992,165845.3277,8353808.923,2047156.415,809284.2961,1371318.243,2112.115308,12270.72005,16763.6739,44853.72158,6227539.516,660397.4949,60959.12819,2562666.98,113620.412,303927.5906,6744802.052,9894591.052,9710.249765,141948.1638,346079.2983,9503050.065
"1-(2,4-Dihydroxyphenyl)-2-(4-fluorophenoxy)ethanone, 2TMS derivative",3856187.737,1290211.006,6442528.268,22316714.57,790842.9594,20096337.7,53755138.78,2067182.575,36922286.05,14008710.76,5556991.264,4243318.78,107614904.3,115304601.4,1339494.464,12546197.05,5748581.933,41892196.52,4233351.326,11820273.87,14918886.09,818468.2411,376329.4011,249830.4971,2720485.629,3677642.096,1331773.77,4036084.256,15472488.52,17913760.44,2952175.867,65417482.33,47468518.81,5039832.11,249818987.8,8970731.528,255253695.6
"1-Aminopentan-2-ol, 3TMS(1)",1962633.469,49738508.21,13717989.41,153833360,1689092.002,96235807.32,52970632.79,1402106.63,29565754.74,7127411658,10669869.19,42936485.72,9496407535,3320978893,2875771.155,5051226556,13348452.62,69719563.26,11477138.65,64708669.09,19914259.09,2626019.943,1678941.585,151287059.3,14365033.6,196361466,8667084.714,4875002.868,2810728526,4973042829,38178473.99,356746220,91349895.71,9140100.729,1785080320,23107787.2,1105779487
"1-Aminopentan-2-ol, 3TMS(2)",633472.3896,12336167.74,3543819.605,17798876.08,919651.5568,1135356.148,1045155.916,130321.0228,2591840.502,15562125.91,478649.7117,16492888.1,150732579.9,14389499,2073349.928,30181029.94,738575.7145,3582387.725,12404267.85,5738447.544,1857904.085,343796.8686,39826.12825,632086.1997,1337654.055,121403916.2,474537.6859,871097.3939,45768429.69,7106358.029,6126540.706,20569407.02,46434717.69,559402.5248,49055253.7,2920651.447,29004328.21
1-Decanol,1422506.411,36036272.03,4162524.942,17544466.29,1612959.968,25620308.79,22194088.15,2097820.068,31093170.34,36972542.2,4550848.118,21359268.07,261810497.4,363726569.2,2078444.222,20888215.18,4099910.18,149291859.8,8220847.442,33960158.95,21589076.3,3630521.496,1626678.148,179487.1155,3072017.367,96171867.44,999398.5804,7430053.492,141433537.2,33017644.13,1753357.044,509283251.1,382334409.8,3541752.563,74172385.94,9129499.829,1709266686
"1-Deoxy-1-(methylamino)-D-galactitol, N,O,O,O,O,O-hexa(trifluoroacetyl)-",12062693.33,160968198.5,47695617,168552919.7,9293489.576,215516190.4,123353653.5,15586209.08,258445457.2,137582814,62220139.59,101143225,1226314085,1474120496,14745718.35,14237102.64,68593828.95,42098680.53,47890004.3,155472764.8,241387506.2,17820821.46,9150995.799,2846701.422,56126739.87,318682270.6,17152910.97,61129219.96,378938489.1,348590617.4,31490485.85,1565569352,1121639968,29633295.62,553214657.3,68576736.95,2481107791
"1-Dodecanol, TMS derivative",531314.8384,2194561.208,550930.0282,5828434.099,154176.9973,3139551.31,8250570.552,235499.4478,5516014.68,5986397.068,2022863.639,2830989.239,47704050.79,108035186.7,73839.95917,2174645.487,339717.1715,10864988.05,9787388.009,23945959.67,28914374.57,470061.2696,419303.4349,45949.13605,10587911.48,23614111.03,5128185.431,14634500.85,2464106.543,55026031.58,5774921.199,113181730.9,5209465.258,1232598.894,43213043.8,2268174.171,279565343.4
"1-Eicosanol, TMS derivative",94900.97278,2754961.58,651266.4668,2523790.792,44489.01009,834987.5898,15360876.69,155519.4107,6391662.548,1802183.201,964985.8138,1348360.163,13678626.43,19165431.12,19143.14333,1654791.892,446221.1205,7840711.313,680210.0129,841073.0603,1375157.236,161870.0593,614895.7725,28916.25018,587763.2731,784678.9357,617604.4636,269912.1931,2066891.511,1757727.256,3106640.584,24646894.61,4969991.366,386515.1715,5032755.519,3084754.357,51317015.95
"1-Hexadecanol, TMS derivative",3410362.436,59555329.18,20067782.78,96914202.83,2484057.716,41195249.62,79479790.92,4060917.012,34529220.46,52326361.18,14378733.48,41147494.63,256144490.8,286230744.8,6211524.774,50031110.98,10731474.13,969641953.2,41932030.47,98853502.31,103167325.3,25254918.96,1905130.423,1210088.655,22352960.43,84779584.38,13571697.45,21078954.88,144001492.6,63477506.05,19826385.12,2031304392,359211526.5,9251108.852,131214518.8,18434229.25,875427622.9
"1-Hydroxycyclohexanecarboxylic acid, 2TMS derivative",22871156.8,58304312.75,17530477.61,241283211.2,10636541.93,80193217.96,77467793.18,18203048.35,34196791.57,46412058.69,23355012.88,28356265.06,107620493.6,9588007477,95929282.08,76069996.42,32865746.87,628633066.6,32674715.13,17368997.12,15592963.86,8878201.391,395083627,6423060.384,11487703.39,59878909.16,6628112.875,15798254.87,136221403.5,124613540.5,13428786.25,172233562.4,34023174.97,82525778.12,1.11E+11,197877356.3,628967112.7
"1-Monoacetin, 2O-TMS(1)",719327.245,7197224.232,7782446.332,107275385.4,1358327.918,8432725.712,54303511.8,2666498.431,24110252.48,24696119.74,5532273.622,375686998.1,476191975.2,957930505.8,287098556,1824120064,91152030.63,3552582862,18092806.33,15933341.77,21019909.17,10427395.95,7841152.122,696672.671,34764350.17,718020758.4,8903488.809,24698487.84,747577128.9,260911305,11786501.25,704878184.8,621387110.7,3036320.218,47196579.41,4025575.185,80876228.54
"1-Monoacetin, 2O-TMS(2)",2153954.747,24532670.68,13634385.41,70700733.72,2015827.319,41006453.39,58374673.14,4816263.244,60666975.02,121841934.7,23852702.2,112445056.3,278573020.3,227978776.1,95581329.39,542089829.6,23858909.68,1165874492,10254853.59,34599657.92,45636808.74,2056160.538,4317811.163,811120.3033,10541713.41,58333120.28,3898507.441,13824655.48,93322851.39,73362841.39,7878396.682,125090393.3,298431292.8,8257681.783,163488436.5,18247194.75,382877790.5
"1-Monopalmitin, 2TMS derivative",4202053.518,72529943.61,75043427.31,216896367.6,3587759.472,124808895.1,1259122207,14801585.65,854680824.2,128633544.9,63019546.29,152304843.1,814500146.6,522674036.2,40466174.64,197675318.2,22715042.8,1179916496,69910661,78729224.15,153408701.2,23809332.19,10476043.94,12964193.55,51884070.9,485602495.9,18522430.77,32822790.19,668184477.9,399319024.9,38993535.76,2036356406,1276768906,21787250.54,500925232.9,33650576.95,312485623.6
1-Monopalmitylglycerol bis-trimethylsilyl ether,1067953.74,37162830.4,2739780.23,32628344.99,469903.0329,8171262.094,122100146.7,384541.5967,17341746.53,38038260.19,7324985.241,60280436.19,102801885.5,131791440.4,4354131.116,113669499.7,3692496.895,97877457.55,11467966.02,14961473.56,11972054.59,6551280.821,5880123.518,2235550.883,9194838.986,74244596.78,1753171.5,5579142.899,213798449.4,184087248.6,8561107.715,292020207.1,196535512,2736488.906,101632751.2,3914431.277,31960154.79
"1-Octadecanol, TMS derivative",3590378.872,43712754.95,16382158.88,74832886.53,1688126.686,53132858.95,77983656.39,1695205.383,34717852.02,17321821.77,9270448.434,27688189.17,274752656,255187263.1,1364404.427,34444694.81,9945220.329,213147047.5,10806881.22,26914177.99,38592509.35,7194334.183,1749198.585,471744.1337,10650362.13,92583807.53,4725237.258,7803459.477,98674454.22,53995917.87,7092561.265,1159674947,143272684.7,7766429.173,105593100.7,12823452.48,537436737.4
1-Pentanamine,336513.752,18196662.41,5657586.003,10308715.49,657939.6457,255640194.1,123658799.6,8682491.527,528196254.7,77411224.01,43772434.71,10705310.94,43256340.35,64188959.92,1517237.108,313993569.5,53316488.86,184631341.1,5339299.388,11162885.03,73062344.81,15997109.36,229050.2844,110405.0737,110708543.1,2407660.605,2958248.924,28311672.26,26570380.02,31214037.22,113463531.9,135392919.4,86467701.27,71512652.16,48827624.83,7277941.845,0
1-Propene-1-thiol91),2366196.052,38558609.91,13788441.44,408691506.6,2584030.676,56090017.5,216851366.4,4592297.733,170492128.5,66411111.24,63340950.12,29311657.99,428426106.4,1114224920,384760681.1,499756705.4,48468895.42,364991209.6,68804734.13,399969324.3,149728018,17322519.47,17576718.27,26262823.58,41933963.1,107625666.3,17651557.67,55283050.62,110779426,5335871996,32328675.25,353422244.1,241791035.7,152047416.2,167997165.8,19630528.98,758685035.1
1-Propene-1-thiol(2),1646523.751,6940347.678,2201595.821,29011719.82,1116984.127,10764658.67,93216889.21,6641470.626,108143689.3,151866415.8,21525402.64,133038880.9,773135800,1278953607,15817577.59,249571928.3,6780811.179,27759901.08,84544828.84,172087551.4,56602876.86,3751516.747,1027484.555,1018858.226,18632218.67,333457454,1298880.931,3279912.591,431751419,226914743,11493577.04,689522553.5,680909721.1,8544996.234,260530966.2,5051131.687,231554641.3
"1,2-Butanediol, 2TMS derivative",24449314.65,176313376,28138044.54,127392386.5,22120067.61,64598324.08,77259591.72,9835944.214,317200052.6,5859014907,31972551.73,4555890640,781031806.2,429750390.6,82723763.71,11963719402,24366796.67,1461596930,79866046.16,147933133.4,124420613.6,23393142.52,80271162.36,1319625.147,24672391.6,198502401.8,16024783.6,59346668.34,470729628.9,254694128.5,35066861,9480225814,870090739,7646086.687,70537880.06,502963978.7,1901122080
