Name,cF17,cF3,cF29,cF36,cF8,cF41,cF38,cF19,cF31,cF14,cF27,cF4,cF22,cF40,cF9,cF33,cF16,cF2,cF26,cF11,cF20,cF5,cF30,cF15,cF39,cF7,cF13,cF34,cF18,cF10,cF28,cF21,cF44,cF12,cF35,cF24,cF6
Feature 04033,96617.98978,834398.2006,927315.9682,10677047.45,192013.7881,3575611.753,2915135.27,84287.86339,3154504.736,996306.7051,80781.044,159370546.8,32116321.55,49839539.07,41859117.19,1258774042,847236.7422,15996098.12,60609271.09,2378106.672,886777.4828,258315.5994,32989.5578,10464.50092,65762.68889,89117523.75,34535.04568,364633.6255,55850389.57,51393006.25,127617.5535,37991186.99,48725127.34,1536436.017,42417350.75,272828.331,31905658.05
Feature 04034,90561.67833,13411628.48,5992154.566,14628235.39,334326.1844,9500098.025,3850882.612,1171866.55,14807630.52,7409838.586,8423328.957,10385866.54,27218774.79,67312734.28,1055146.314,9002394.179,7551596.337,36992739.71,1229000.893,20218646.48,17552348.64,3302716.044,1359348.407,327165.7655,16231554.92,9241078.802,4375552.736,7029837.412,22940588.72,25099478.29,3715165.276,76089847.26,59934032.94,1332475.798,45902985.95,5217847.865,509422521.5
Feature 04037,1888738.334,40155142.53,16251810.02,46914482.94,1281337.342,39685545.34,44264126.68,3246378.751,51642180.4,19083791.32,17606524.54,25805083.33,221764560.6,274075983.8,35218363.62,32668078.17,10677482.47,107614953.7,245054292.9,26954712.35,35278349.71,5278699.849,9975893.726,243489.3572,9583956.728,94016583.58,3174220.755,12976834.61,52396854.84,58135339.77,6881086.737,271830659.3,67007054.05,51671761.18,31642492.69,1767697.255,330411087.9
Feature 04040,550216.6282,3764314.803,11226180.55,31220409.36,246231.5458,4564032.109,20792769.5,256859.8666,2238250.826,32202306.39,2300876.513,43413868.25,339081208.9,215170061.7,3580758.986,59986256.11,11051752.94,237532900.4,81747947.49,101796822.5,14907155.83,10418062.38,3568563.536,890532.1101,13540180.03,180635509,7526989.629,15622510.6,250967339.1,105301268.3,11034331.56,293358669.9,129367706.1,26153432.65,14710316.43,1025799.232,812672044.9
Feature 04047,602935.2344,4258806.639,1661898.311,4531193.605,217879.6112,3567215.757,2203287.926,75392.74806,878617.3812,769066.6826,1419349.654,306568.6039,4707897.879,3047186.244,2334203.148,605522.0377,416941.946,33174370.18,8484.784062,1455584.041,1042911.348,2750814.79,860034.8912,171579.3191,1302789.54,8802991.1,454470.7389,1432634.519,6457803.684,4197508.244,494572.247,32672329.04,14757111.61,781522.8645,8255076.608,502459.9652,10552733.34
Feature 04048,19170.62322,1463974.626,3289924.248,9260720.664,21134.0751,258997.9458,160662.1397,2105.957857,1274725.975,304513.0157,562182.4016,10347349.4,113333645.8,87218317.24,1497115.442,4250531.516,3216085.569,24987209.36,7106088.567,32271830.08,2834867.054,2410930.05,22816.29454,138421.4354,2210392.809,34617083.14,1292915.353,3038714.51,24372993.62,20849102.53,366116.7778,23053601.04,2508786.585,5097347.294,33763285.35,344972.4947,109217191.5
Feature 04049,139068.578,7330767.636,2607496.282,24532435.4,684902.4716,2683577.665,1428389.628,67949.61656,73953.87948,10880394.57,467162.7088,222908.9549,5432024.708,4996076.931,549584.1453,900393.4741,458708.1978,1833944.506,1552153.228,3482311.364,3212451.437,377699.7586,245355.9143,65262.18281,166058.4156,463584.763,411580.5442,311059.8748,1386698.089,73584.46106,242363.5211,21448785.66,8214202.272,203665.0887,1044342.156,44585.68884,9174710.278
Feature 04051,623647.9028,62037084.85,14109085.19,76483252.67,1213909.286,22584222.53,58312284.88,1174071.033,99103649.21,85110168.55,27923796.36,3669226.38,80052762.75,75817719.08,16928896.27,23387863.5,13821950.14,80210569.03,8052439.407,87868327.68,37385823.86,22775219.05,500959.5545,284707.1083,61771989.74,257236207.9,21656998.03,66717420.94,27302610.99,201896671.1,29521889.84,467481741.7,493757071.2,7735430.011,109359332.9,9833064.045,602084776.3
Feature 04052,73077.38557,881799.7648,289102.3965,1287691.39,32777.30012,1129340.138,6229652.799,116662.5917,4381734.668,2223481.98,1728189.161,228475.0285,10270240.13,18311390.02,2606621.772,1629547.824,634126.7392,73331384.11,1057648.4,12202957.96,1544205.331,2564620.034,92527.61865,18410.51885,2220162.004,33655928.18,2230047.595,6224093.697,4003886.349,1526156.593,2801590.709,29557699.99,29734197.21,925383.6921,13026612.26,1288874.854,47867743.49
Feature 04053,58972.70503,8087428.73,1495235.383,6300239.93,140781.5638,695838.5977,5776079.224,8302.817486,2580606.383,5463941.197,2174204.104,3874836.243,46329062.92,143943306.8,798275.2725,6728987.589,289997.3684,5289199.758,2103706.896,4637616.845,2956587.394,215389.3017,0,12422.82307,150292.8645,4998185.04,123784.7056,197576.288,20331546.78,12380790.18,38200.47054,2425365.47,17118818.78,386092.4115,2155276.572,192446.5659,1790319.115
