Name,Quant mass,cF17,cF3,cF29,cF36,cF41,cF12,cF24,cF38,cF19,cF31,cF14,cF27,cF4,cF22,cF40,cF9,cF33,cF16,cF2,cF26,cF11,cF20,cF5,cF30,cF15,cF39,cF25,cF34,cF18,cF10,cF28,cF21
Feature 00044,129.88354,78095147.75,2987570705,2983804.091,1882125839,559919.28,866276.1,3422470.4,399648.52,0,239828.61,31108427,3.10E+09,5667655.6,33391810,10477859,252992.65,0,0,33361.178,18616.704,251090.79,2867.0455,7209.1487,28969.598,203496.61,55976.199,513588.89,3364.1534,4253.611,68151734,20255.938,50194.841
Feature 00059,93.072022,352478296.7,9258379.13,464948688,301890284.9,1587568.5,2561767.6,3223768.4,45489.382,16384731,27203.906,1588082.6,21304193,239967267,13469811,5597912.9,1733012,2259924.3,43377.949,382049.94,113936483,15842053,454894.89,1176350.7,365075.49,17318710,41800961,26657826,896085.58,103725.33,46611596,6972290.2,55367138
Feature 00063,128.88037,16126585.67,157993242,5756395.273,326353005.2,649045.14,1320555.3,63884.213,30616.268,7530191.4,18371.739,13952711,183739665,23533328,527549.71,187322.21,18461018,14905.213,1963.5633,120558.91,7855.4562,693778.18,4649.3703,7078.9547,0,135074.94,34216.468,138237.54,3343.1987,0,1193558.9,27089.487,1348599.7
Feature 00066,85.081524,1409053210,15350911.8,366158666.3,60904342.09,11693.541,58724.545,5397193.8,3733431.2,10809790,38172.748,3445640.4,4984720,89173901,6433489.8,1005620.2,187124899,857389.8,266359.5,20654936,1089375.8,31562296,348066.37,69866.617,1399764.7,6136076.4,5304264.5,2324370.1,1441293.7,773611.89,875156369,166970519,95591017
Feature 00071,340.99367,5529188645,336046220,6875749998,1267609600,2474153.6,47594384,265691337,7890092.3,1.57E+09,6579776.7,1.57E+09,294711445,4.00E+09,391879023,108839515,1.56E+09,189767693,1557964.5,39027838,282093798,17028360,31091.571,5073721.8,101977.17,276425709,85451381,175063457,4606760.1,78337.96,715419584,234076133,395801779
Feature 00078,91.062132,954216286.6,523531660,2087205195,1076225632,2898232.1,19521844,188781010,2675440.7,503123048,1587120.3,234061069,437379088,1.67E+10,1.58E+09,464543004,1888956.6,222440078,91761.979,1767577.2,1.43E+09,33592635,3655795.3,35820785,29293142,2.03E+09,449725988,211868899,4789743,182542.55,2.54E+09,13927412,965423272
Feature 00079,149.04817,16251008974,49616552.8,26327124.88,39978579.06,37123.255,6535223.6,851576403,94713.534,5.00E+09,112569.37,6431064.3,5224681.1,165979640,3.77E+09,6295354.8,5.06E+09,22913175,28419511,746853948,13702748,7.03E+09,77205477,48560.252,187016937,41414143,8438884.7,33965346,625157.67,81070306,32158417,3.30E+09,10907555
Feature 00085,85.125659,5853983.36,708634.405,54633730.83,433878539.9,937082.11,211095.18,620246.25,92095.449,316647490,3065224,5222101.5,916302327,1.63E+10,2.64E+09,613176738,7736098,1.40E+09,1343128.2,21851984,1.81E+09,4184821,1172401.8,45116696,7144868.4,2.79E+09,1.32E+09,447658010,89364.003,36572.293,5.67E+09,393351675,5.56E+09
Feature 00097,169.20112,2154994.3,621673.148,374962.4391,3877910.858,1111.0169,219004.06,100642.6,3954.6548,3059160.6,0,320631.61,1621389.3,105788433,5533761.4,6379099.8,636852.08,0,251548.14,242001.23,1390316.2,500482.84,67590.492,143315.5,339266.7,0,11904597,18723679,0,101084.22,345238.34,74170565,327910884
Feature 00101,415.01201,3124819830,156092867,2719352490,520689165.1,1561696.6,23598236,9236118.3,485762.42,727883353,2992876.9,1.16E+09,147484219,1.82E+09,315545793,77073195,613432578,2460745.4,1165373.9,1190821.7,281467177,698855629,125136.53,5382138,237484.56,6677929,104651579,204037608,3705619.8,4747511.7,918205060,117451369,279127363
Feature 00102,57.100676,754013541,36370982.6,1917629927,137031127.7,3213803.1,19974489,205358764,6704390.4,2.17E+09,5352413.5,497226259,24376291,4.01E+09,823195788,131671764,3780402.7,541478761,3461691.7,130102914,381825121,463197127,13916357,14796966,20301912,807438282,473551472,570237129,3765483.2,12247670,2.40E+09,1.08E+09,3.44E+09
Feature 00105,69.09695,9557935.887,14093287.8,15143661353,3028864763,107289.87,345081.24,1.00E+09,32184551,3673314.1,346267.14,6959117.1,161366957,2.64E+10,3.95E+09,825128354,47769859,582207908,2438886.2,102533267,438056159,433552344,182094.7,15856647,11362489,821033907,342472570,329755651,1614178.7,10347652,755855175,806323731,2.66E+09
Feature 00108,88.054754,426220660.1,1016622.61,82624893.43,704218947.9,164942.66,1.68E+09,1.08E+09,35992.499,2.16E+09,106896.96,27831734,18162615,131460780,75226586,41658175,3.11E+09,349952019,158003.6,22591346,2.99E+09,1.11E+10,1610922.7,3592434.4,3371567.7,413836081,48776924,134196877,1484817.1,1121519.4,84069985,6011276.3,1.25E+09
Feature 00115,401.00194,12638230.45,570292.275,346367.1203,0,572.71383,137716.03,1037748.9,0,81881.079,1282.5798,1738625.7,382599,148959925,7817546.9,5360902.9,3093368.9,73850106,685794.25,29699699,17698218,53644478,1803199.1,2967876.5,150664.33,124646486,2988412.5,23940848,2209768.1,511410.11,0,139380444,11937282
Feature 00126,175.15158,418232476.7,78252185.1,538535120.1,263949547.7,75269.11,6103336.4,63246653,12104293,2.59E+09,3450383.7,400077615,819609881,4.65E+09,710709367,198973729,716791762,647944733,21132.237,126146912,714099139,9579424.6,126463.86,18528242,185138.76,1.22E+09,479164847,335800391,4471168,101693.46,2.55E+09,43834680,9.16E+09
Feature 00130,95.022765,788287974,251060578,1395544426,1198085665,1613754.6,9861544.4,56969936,1904815.5,567684930,954777.63,191029841,286000420,3.26E+09,374130042,107593956,211031489,296462015,2475726.6,109813979,406889612,575933656,9981923,9305759.1,18228146,603793233,237369919,454803581,6250241.6,7716341.6,976062518,173264064,920086949
Feature 00131,266.98571,47465126774,1303729206,39303387191,4934055963,8871864.2,162166083,1.36E+09,33278418,7.20E+09,50160060,1.76E+10,1.20E+09,2.33E+10,2.87E+09,563577777,2.47E+10,1.60E+09,18330423,504854905,2.10E+09,5.40E+09,56675637,60526762,100510600,3.27E+09,1.02E+09,2.16E+09,45193355,51946599,5.07E+09,2.02E+09,4.99E+09
Feature 00139,93.081194,264344044.1,50955948.1,149278691.7,173561501.4,433973.47,5584433.2,263493332,2075343.6,253092722,1213998.1,167770743,338495732,3.74E+09,531520372,230255104,574990341,618752327,3009575.2,146978671,1.60E+09,2.83E+09,15237994,23965246,46087545,2.07E+09,504158409,1.17E+09,20738556,293892.11,348872973,418615862,1.10E+09
Feature 00140,429.13011,0,0,358952.6676,2995835.612,6371.2023,22080.635,31668.29,5336.2539,0,0,0,2229853.2,2023762.3,71661.069,0,0,122759.38,146.65273,144143.93,2488735,1326689.5,3563.5924,25003381,16053.626,18037294,0,1834096.3,0,2054.3734,1191567.4,1180870.2,2957468.1
Feature 00141,121.10404,13064137.84,3103214.04,8932960.136,5450989.058,36829.432,55554.606,814265.93,52535.063,10925913,26071.266,2463837.9,202382.5,514906836,27123960,9395681.8,12119709,66482666,680340.69,35312106,101949691,848769237,2413367.8,4048221.4,6130199,91261760,43874714,231099537,4744710.6,386329.54,15333566,380403758,947000382
Feature 00155,221.15315,4050457.86,896453.393,7868678.333,6432378.119,2338.7439,37694.648,180343.93,6700.9806,158178.39,6071.4303,2469601.5,396219.74,54035143,5736333,284901.14,0,0,7056.358,64687363,274434.19,17542718,2104418.2,162971.72,15014806,2567619.1,456999.37,3326074,68580.139,13763.982,13401274,3.88E+09,13122078
Fluoroform,69.024562,2166920822,715353579,3022735949,2772035404,5918581.9,34939827,152908679,5343375.2,833935238,2308349.5,358902843,549038679,7.25E+09,658322136,210491285,706730093,571743061,5580655.5,102413807,806771857,810040111,20040404,13540201,135667721,975258482,275661236,760640421,11575217,16539330,2.18E+09,559126056,1.52E+09
"Formic acid, butyl ester",56.090221,56866724162,2509855746,95820423623,16235069370,40692267,2.12E+09,1.47E+10,328838090,7.84E+10,55128763,1.51E+10,7.19E+09,3.88E+10,4.29E+09,1.12E+09,1.84E+10,3.85E+10,37449241,2936195.6,5.93E+10,70907649,1286238.6,519573580,14307752,3.96E+10,9.80E+09,5.51E+10,1.11E+09,2708219.9,3.51E+10,3.93E+10,7.68E+10
"Furan, 2-pentyl-",81.062973,1355261206,297724069,8229284125,1193758772,3377239.9,8193573.2,159386691,7621631,1.34E+09,2539075.8,1.37E+09,584820188,1.27E+10,691665843,192174431,3183384.7,1.01E+10,113716.25,7651646.9,2.86E+09,118658865,541612.99,38426953,229862.92,4.04E+09,630026130,9.81E+09,105211.39,567303.23,1.34E+09,967328624,1.10E+09
Hexadecane,71.111218,23037530.11,1863656.75,31900073.67,75351880.64,10947.687,523499496,9449432.5,211268.28,6598631.5,74197.556,26929691,46814321,2.13E+10,3.93E+09,766205607,7.84E+09,2.29E+09,5625755.8,53354484,1.47E+11,194783469,2753375.7,31162615,7339317.8,1.25E+10,993071281,665671661,4320122.1,6789415,7.35E+09,2.36E+09,9.14E+09
Hexanal,56.092671,19404556652,3511465892,1.30E+11,5060413226,82380206,7932508.3,659520282,86862234,1.21E+10,45010456,1.05E+10,4.42E+09,9.37E+10,2.40E+09,786083781,149811200,2.26E+10,24362248,1.50E+09,411344519,465497116,1157238.1,132695068,2037744.6,5.14E+09,3.27E+09,9.76E+10,1.42E+09,6652049.4,1.17E+10,7.80E+09,3.74E+09
Isoborneol,95.096848,2853452988,443734585,4056917213,2318039437,6204465.6,83042072,597608356,12485752,2.41E+09,4225170,578216925,665972002,3.77E+09,468873084,130006644,646556890,1.45E+09,2926184.3,201163955,5.13E+09,1.26E+10,28413778,53886209,91243539,3.93E+09,720067161,2.48E+09,53996929,18362773,7.91E+09,4.47E+09,1.23E+10
"Methylamine, N,N-dimethyl-",58.095599,17208386.55,240249966,3409846409,654014050.6,196623.58,0,5809254.5,13408732,362087289,6337044.2,673590688,24309029,3.08E+09,85501102,4581529.3,9891143.6,17349043,4804090.8,176094531,617777276,1.64E+11,10510470,9421306.9,1.59E+09,701552213,22365513,4.84E+09,36923822,1416958.6,415260659,53630568,497979427
N-Isobutyl(phenyl)methanesulfonamide,91.059487,16385747.59,284103653,1448376289,798940028.4,2440412.6,398460.45,14411427,5674154.4,898140675,1019249.9,5134692.5,21815441,382540926,284082945,3225078.3,552359794,8030345.1,94060.971,3954238.4,8248087.9,14263986,25454827,6653251.2,649782.15,390063273,2811882.2,204755807,128545.15,45890978,805534778,13246972,7096846.9
"N-Methyl-L-proline, pentyl ester",85.10277,1.94E+13,8.45E+12,4.02E+13,3.92E+13,7.33E+10,2.80E+11,1.88E+12,6.81E+10,1.10E+13,3.28E+10,5.66E+12,9.53E+12,8.43E+13,9.04E+12,1.83E+12,8.81E+12,83647620,111888035,1.93E+09,224101095,4945680.7,6881830.3,207697670,570699.5,1.30E+10,4.18E+09,44549976,4860931.9,4.18E+10,2.75E+12,2.64E+09,7.75E+09
n-Propyl acrylate,55.057247,6339287408,225929025,10485869312,576640372.3,5165753.8,238575645,1.37E+09,27644567,1.13E+10,8163114.2,231981531,53927523,3.28E+09,559547137,180487729,23691701,3.28E+09,3042919.5,88512584,5.27E+09,1.18E+09,1118952.8,67869478,3370808.6,4.94E+09,1.40E+09,6.20E+09,126872586,893667.45,4.15E+09,161662924,8.12E+09
Nonanal,57.079629,2740620879,767185907,5199724336,2516783341,9887550.8,33032985,177393420,14303000,2.47E+09,7216414.8,1.23E+09,1.32E+09,7.84E+09,1.27E+09,265095416,80319582,743666008,10128237,432877353,411924922,909705216,4344192.3,75044762,9373072.6,2.45E+09,1.54E+09,1.82E+09,50457280,10190359,3.55E+09,184354104,221025724
α-Terpineol,93.084221,25624855.05,12847290.9,46737912.05,42265329.1,30872.922,930043.59,324101.92,206447.04,4444369.1,38904.581,10506157,7143030.7,103619957,53465469,2731934.8,2939794.5,26234493,329885.33,557945.42,40964031,102922431,695545.34,819159.91,1220643.1,67438830,10302757,21397960,1549858.3,3256814.5,1.72E+09,1.18E+09,1.86E+09
"Pentanoic acid, 2,2,4-trimethyl-3-carboxyisopropyl, isobutyl ester",71.07253,15158985.81,13253961.2,48932118.82,71526260.51,127961.71,105869.18,6336623.6,214230.21,18779631,32400.88,9562083.1,5689043.1,492247757,17959439,8043631.1,13543187,1.18E+09,9341165.2,205894638,30826014,3.96E+09,36952566,26377732,65807942,1.62E+09,417787110,2338890.8,26337957,82250.933,105120524,1.56E+09,6.70E+09
"Propanoic acid, propyl ester(1)",75.063587,1287120891,30554960.5,853255653.4,35926167.7,7741588.9,21467760,123485622,4210382.7,364775551,997927.02,89743532,47670674,5.27E+09,697511500,92990432,3.67E+10,8.41E+09,104659864,4.88E+09,286446187,2.72E+12,433559617,20407010,9.29E+10,2.96E+10,282930394,363392270,4766823.1,1.61E+09,1.03E+09,56344429,484046053
"Propanoic acid, propyl ester(2)",57.058217,170834178.5,36669143,773416272.7,130351584.1,3481729.5,31335289,5084997.8,198943739,1.17E+11,1.90E+09,2.45E+11,2.46E+11,7.17E+11,9.64E+10,2.85E+10,9.47E+10,5.43E+10,258875120,1.26E+10,2.69E+10,9.33E+09,79376835,1.44E+09,150135397,9.23E+10,3.21E+10,5.09E+10,1.31E+09,76398268,5.83E+11,33981216,1.01E+09
Pyridine,79.049022,15277324912,3692391096,22839578535,28761036954,53527496,272559646,625748478,30851385,5.02E+09,17629754,3.05E+09,4.10E+09,7.60E+10,8.47E+09,2.26E+09,8906950.4,4.68E+09,47454882,1899072.9,5.74E+09,1.05E+09,432727.84,124612787,262843.22,1.13E+10,2.08E+09,4.50E+09,71252051,301521.99,1.85E+10,64253133,1.10E+10
"Sulfone, 2-hydroxypropyl t-butyl",57.099254,985362989.5,105933969,67584819.71,1564558287,1375599.1,3.89E+09,246263796,1019225.2,1.24E+09,4819002.4,204758161,738345053,2.61E+10,4.27E+09,1.05E+09,5.02E+10,7.28E+09,3158408.9,53427762,1.27E+12,112094206,1918237.7,71489612,7762043.8,5.64E+10,1.88E+09,1.06E+09,3551385.2,5987978,9.65E+09,700923081,7.89E+09
tert-Butyl Hydroperoxide,57.059387,33978717.94,582158626,2437187336,2003912083,7737369.4,37044687,106246869,9265763.3,1.80E+09,5068540.7,931208219,1.01E+09,5.26E+09,870343181,210177051,41992020,486026358,1265023.1,82808936,249538665,581197631,144368.48,51263314,6633847,77755161,984987420,1.37E+09,33680729,939474.7,2.39E+09,526880577,358346607
"Tricyclo[3.1.0.0(2,4)]hex-3-ene-3-carbonitrile",103.03395,2135966159,470838750,3716653934,2575338735,6303442.9,34328584,137559905,6624382.1,1.14E+09,2558607.7,511440512,702569170,8.81E+09,1.27E+09,261805284,858980760,508728126,3758952.1,89317513,674862689,1.01E+09,10668369,12107125,18193942,804506726,261862757,716578304,5278084.5,19333386,2.88E+09,257826776,1.11E+09
"Tridecane, 2-methyl-",71.111472,48404111.75,3023153.44,28615848.53,26232481.63,34837.506,363171.13,5030980.5,34011.004,9764301.5,85978.86,13852961,3395558.8,2.92E+09,826869157,182403169,17784689,375562950,2460489.1,51300748,511870018,214417098,5780106.6,5251790.1,16389548,516216091,227173121,139911598,4538125.6,224138.75,50173581,1.07E+09,3.18E+09
Undecane,57.096343,166159353.9,23411885.8,38536872.68,23216856.52,214624.55,873431.42,3539213.2,2341264.6,243148671,1643619.6,69885774,523356791,7.19E+09,1.03E+09,240263289,186207621,435361707,2035999.9,62205703,415589301,1.81E+09,5101555.9,14021605,23687696,1.32E+09,441672184,265725765,2059499.8,11744053,2.09E+09,824376493,2.20E+09
"Undecane, 3,7-dimethyl-",57.096554,100901802.2,5855809.67,13502908.36,155623381.3,224224.87,11105193,45779119,28142.619,21661362,35883.314,6409020.4,16910835,322544078,2.55E+09,482717490,1.01E+09,883003806,6383017,39041217,725940669,587404040,5224474.9,28838423,4827601.2,287918135,120179717,657912436,11870824,15456827,2.22E+09,2.68E+09,9.17E+09
"Undecane, 4,7-dimethyl-",57.095989,178809.9038,13043095.8,48960715.44,107306187.3,56993.905,214330.19,5581204.5,258215.59,25123877,1163932.8,107815418,521622303,4.35E+09,15278262,157729379,254323102,235086607,4383594.9,107991674,657437581,1.16E+09,9876098.8,20647065,23530296,50947924,298486537,265049726,1438036.2,19820044,1.56E+09,885708139,4.19E+09
