Name,Quant mass,cF17,cF3,cF29,cF36,cF41,cF12,cF24,cF38,cF19,cF31,cF14,cF27,cF4,cF22,cF40,cF9,cF33,cF16,cF2,cF26,cF11,cF20,cF5,cF30,cF15,cF39,cF25,cF34,cF18,cF10,cF28,cF21
"7-Octen-2-ol, 2,6-dimethyl-",59.078835,307757726.6,89771138,443938496.9,371778617.8,1005531.6,762841.21,15639011,229568.06,208800023,554614.78,33593528,95294811,2.34E+09,160884048,54628483,91154923,118467957,1194363.7,134748464,277323819,377363961,10771312,5819440.2,25728415,893547759,304716742,340954480,25974042,75043676,2.75E+10,2.01E+10,4.96E+10
"Acetamide, 2,2,2-trifluoro-N-methyl-",58.061414,1522861082,584567427,2085906664,1896815064,4347410.6,26333243,125599129,4247220.3,781918961,1975147.8,302399809,635924929,1.50E+09,667735838,199163493,609136702,206509746,9892853.5,144963091,678867843,1.18E+09,15534767,25330875,28121181,410291721,485989771,540950190,17489488,15675005,1.83E+09,1.45E+09,1.71E+09
Acetoin,88.067037,465592623.6,16167917.9,106952612.1,62340212.66,49933.523,1.82E+09,1.24E+09,292466.42,2.50E+09,160485.81,21233311,37742372,218862962,87019024,23215567,3.46E+09,431737920,972859.79,26438475,3.57E+09,1.30E+10,1769458,1122300.5,10103567,485395121,63019627,162720627,1523472.7,2242546.7,122938423,28402743,1.43E+09
Acetophenone,105.0426,2706237506,702526994,3026283353,2866252220,6137075,51263932,220583031,6967344.7,1.37E+09,3521841.9,567827295,842868561,9.83E+09,1.39E+09,376926895,859596987,1.05E+09,7805202.7,287053807,2.61E+09,3.60E+09,30382049,39097093,67468529,2.84E+09,765807260,1.52E+09,35291213,42578489,4.92E+09,2.13E+09,4.24E+09
"Angolensin, 2TMS derivative",281.0499,4.53E+11,1.34E+11,7.00E+11,5.51E+11,1.15E+09,7.18E+09,1.72E+10,335147534,9.64E+10,183093752,3.28E+10,6.98E+10,2.13E+11,3.00E+10,7.73E+09,2.52E+09,1.77E+10,87870762,8.08E+09,2.46E+10,144984638,892590497,400444463,43386074,2.83E+10,7.21E+09,4.90E+10,1.09E+09,82556824,7.11E+10,4.61E+10,1.10E+11
Benzaldehyde,106.05323,11399455109,2432501712,17950240233,7208749959,22586249,78689644,1.19E+09,47514242,9.29E+09,21989801,6.73E+09,2.41E+09,9.84E+10,1.32E+10,3.08E+09,1.87E+09,2.05E+10,29357822,1.04E+09,3.04E+09,2.70E+10,132623498,188492410,347903083,1.46E+10,4.22E+09,1.42E+10,379137390,231713037,3.41E+10,5.65E+09,1.15E+10
"Benzenamine, 2-(2,4,5-trichlorophenylsulfonylamino)-5-methyl-",121.0912,3600070917,32798413.7,277116935.4,136495142.8,325436.37,115354523,34995306,59791883,1.04E+10,20820287,1.29E+09,3.14E+09,288567758,34305677,1990543.4,0,53137440,180502.41,5779914.2,1.23E+09,8087543.4,102885.62,2220001.6,139898.78,212723221,5846602.1,1.42E+09,7132611.6,110988.04,3.70E+09,52577564,3.02E+09
"Benzene, (1-methylethyl)-(1)",105.06932,1495240357,1023935641,66560824.68,126423133.4,4822707.7,17952578,959101.93,2214037,439635164,2242557.2,4390655.2,494948306,30312304,3836871,477547.1,755056608,247724770,136965.75,7237235.1,25770055,23541206,32351391,515393.21,510092.7,36099200,5979666.1,14488130,387196.91,65128120,37357589,32782449,17888570
"Benzene, (1-methylethyl)-(2)",105.07128,1514038782,1036959561,2599976442,1921973950,4837690.2,18176947,135779613,2209399.1,448880752,2274184.9,225753206,501790401,1.97E+10,2.36E+09,652780130,8303081.5,254289975,123911.22,2129467.4,2.23E+09,3.63E+09,301145.05,35143758,691033.73,2.29E+09,536667024,208738015,35426.209,291609.18,3.06E+09,17692939,909681326
"Benzene, 1,2,4-trimethyl-",105.06861,423229255.2,214465974,3748904693,434017273.5,1340117.4,8368817.2,450968220,1433881.7,196441384,757025.16,90280077,1167649.3,2.64E+09,433444729,72003180,1.57E+10,117382694,184839.79,1363782.9,3.87E+09,3.75E+09,19537142,50124294,225227802,2.75E+09,435529190,15215231,509084.2,166248528,2.16E+09,6134389.5,1.14E+09
